钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
ArwA4hci9Xz2YqAwFLWwXM2RGQJ7hiW21baCQgX4tJrV,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=0.0；hold=0.079676737468174；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
BnVhzFpqGS6GR5uhznj7zLUiU2wJz8YwxBb9hQJGtxBL,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=285.39596525371553；hold=0.002606670882224；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
AZR1frvwE2GdSstnNocgyv9zjS1RyNAKnnL7XxGxSngU,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=281.5969757464111；hold=0.002605384081887；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
9QLj9m7sgG2qmwJmkzzfugmiJ5RHq8jb6DshPWPypcsL,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=262.25702256631484；hold=0.0026021551739830004；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
BrBB8V8bVjmm1u8NuN3YqRYSQX2FBC8YUMitkjW38TkL,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=235.51136362986858；hold=0.002590933194424；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
2WwiHuQ2bLvDSAz9kXZkDuLJVjY5dHgzDFKEwUSeDwut,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=278.32246426104865；hold=0.002570817314261；sell_ratio=0.039830633432492275,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
FY3xAJLgA3FEbfjhVfMZJNL1rKFW8wDmCx6QbSckzxnQ,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=246.5771230164616；hold=0.002525073441353；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
E7rBEbessEZmaBxNTCJEd8Qxpyd7u83Ch1BkYT1hRXvv,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=275.3635293995322；hold=0.002521418476398；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
9sYt219SYGHyod7drQ2quzwHCBiaAkYrNH3qZTnmH84V,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=252.00705082137966；hold=0.002502573715808；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
A9StS6hVZ3EtXkaU9pb97DUTYVQ4k4KMjmsVfM2j6kYb,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=272.0219668691435；hold=0.002437333550615；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
6xDu9NYWz1YNjKYAEyRV2z6w3J4qF4gBTMgA118Gz4T6,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=top_holder；profit=253.1669140952274；hold=0.002436934503654；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
5yefCn25jnFop9AvEPtXMPYN23Ems7Wg2JeSP8MNq3vZ,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=246.18281363950734；hold=0.002429273294246；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
CHHUaJ9iPubQyHjWeynYq8nrsMuQAWLuWsaihpdvohtL,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=244.5904187960212；hold=0.002415208223983；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
BeKrTA1WmYhKBJ6uATMva4v9GkFuH3JSbrKdottYf8TU,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=260.49903984459434；hold=0.002404175709224；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
4juqSPY3PHasJY53oArUCpt8Xmzb8dhShzPdqyZnkePT,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=241.64777403644268；hold=0.002393334176079；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
635ZUBZAEHBaHs6FGP9CLpUCx6PjTkxPNV96FeRQdPSo,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=275.68537637299715；hold=0.002330355058317；sell_ratio=0.11460849609105132,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
CZmjWA567j11Co5TZnb5Wiu82RQLfs8sFJyScNgzRdQv,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=223.6732212975905；hold=0.002322894826626；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
EgTVbJMQdomrUm2666XtBrce1mMh9KhsCsbnzHs28c2g,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=230.9036670860118；hold=0.0023183437440860003；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
Fr6qZiTpGNz2xkPTWVDnFtqtvYdw2EPH2zYw2fadKnh9,EARLY_BUYER,STRUCTURE_SIDE,E2,只读gmgn:token_holders证据；tags=无；profit=263.31802664096585；hold=0.002317265450217；sell_ratio=0.0,仍持有,risk_watch,MASK-EARLY_BUYER-E2-STRUCTURE_SIDE,gmgn:token_holders
8YdUz5pm8vhp8Fs1nx3EkkeDs2rq5WnfPkKyWcwxXAhG,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=237.54266535402456；hold=0.002289970988012；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
6m96y8pfhvGk4cQfs7Sg9qFSfW5NbHXg35XKACZAJu9V,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=242.70865124852452；hold=0.002259020310891；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
6bd2gszX6mxF8kgjyHms5e9yW5WX9cWWJXd1ifSJTstx,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=bundler；profit=221.4809003689412；hold=0.002253399024358；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders;gmgn:holders_bundler
AGHhsynRNDShcVGC78WHFZFxPR1NWTLJD9CuMuwe1SdN,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=220.95949353087133；hold=0.002252015785538；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
8cTLQEwUktorfHJX2pBYLohbMNDVGeeNA1wHD9ec4Y11,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=254.31766036776173；hold=0.0022510514879839996；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
7cN6SALJQDhADVi5XfxMoCQ6djDsNhqBj8Hq6uo6PAJM,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=262.539070354215；hold=0.002247588731141；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
Ec6WfNBf2teRpDcmpKnN3teYMLQxgYe4G7BYsDQox4CQ,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=264.23296459626937；hold=0.0022467689465219998；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
DWFLavxWj9oGEHS3RAcvDcubbqRZ3wREu9sCgf5gPyTZ,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=240.51992333133722；hold=0.0022467633703430003；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
3mtjbjcQcbBA9DpwhMWy8tTuuDdxLY9tiwt4jqzztpZj,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=191.5073296503963；hold=0.002242436519961；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
5GT5UuAtLuVGASCy4GKRWee4oy8fJyBQx2RWJf3zVkK4,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=263.107833857944；hold=0.002241773084327；sell_ratio=0.26162176626867906,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders;gmgn:token_traders
335Lwfwg521Ysu4ee6brvVtiP2eVq3nJLf3dJLdq24Hh,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=240.76179084675556；hold=0.0021955933803380003；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
5HQLy5rLmCJqdAfNB43hJJ8HsXq1VK6XvPMRxcZjCR2E,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=284.7825237470101；hold=0.0021914893515400003；sell_ratio=0.2162262375805192,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders;gmgn:token_traders
4hTDTmGaaGwXpProEZzXyNN2uAozMMG5wibQ2g6tivLH,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=210.347180334411；hold=0.002191103178521；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
As8FPtLTW28mUNEfcttJrKN2rjTZYthTGqUx89oyr4mw,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=191.98668187891468；hold=0.00218425636017；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
EYxKEUwdusWw2vxffwpoKoqgan2FFMYax6pkER2CLWJ2,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=186.12747893376775；hold=0.0021790880249800003；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
Dh7RcX2dUw5n3z14r7H1UsfisW2cfdfopYPuWmrPu18z,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=243.4140439106895；hold=0.002148355995882；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
Ao8cp3QP93K8s8yQVwJnFWaGJNifPHaSt3WJyYPhxfH,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=237.11650181365934；hold=0.002143437371983；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
9E24HnzFszaru7dCy5x5fUV33GFrbDeuYhWXCirb7gF1,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=233.1978759451979；hold=0.002141926974379；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
8HyuUJcwDXgdRc23ahAzam39f6UN1uQNVhhHXHSWHdP9,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=205.2600676279257；hold=0.002137390754654；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
FfshPdvjs9Ep7EfdAxYFDYdMhTVmyispzU7NXcnbvQLR,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=194.13282637919292；hold=0.0021316299464890004；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
Hx2pY35GTP3uWMABkq4Epk3Kr7RcKASam391b7VFVprf,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=296.4449187830521；hold=0.0021303654504030004；sell_ratio=0.21716125674789002,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders;gmgn:token_traders
Bs9EC7cuGNrtXHSRV3vU3SikM3LB9KQ3aRF7iGBTEeH9,EARLY_BUYER,STRUCTURE_SIDE,E2,只读gmgn:token_holders证据；tags=无；profit=211.94335103271135；hold=0.0021221901121439997；sell_ratio=0.0,仍持有,risk_watch,MASK-EARLY_BUYER-E2-STRUCTURE_SIDE,gmgn:token_holders
DxNaC7hcHKs86nKiaEtDGmtziJRiEBJ9roDqHYweBVA,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=234.07914851376114；hold=0.002113150181758；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
G6ggv87TeGutRTBGVpJdkenBa6oEqcVHSoXwq17jqE5V,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=206.82163839707277；hold=0.002101303038762；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
EXJTTGmfEHrReLgH6dUCCDpLkhMjBfCKWK4PhmbjJevV,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=238.13865999483284；hold=0.002093892628506；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
BgiekKQvLUSyqPQsgRrJoq4MPFzauFYUM1G5BeS21NTJ,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=231.4468267689461；hold=0.002092373246033；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
9LRPCiDTH5npLq1oZ2TWMBsczzWbyhNvopMPAytBa1rz,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=242.38388181191516；hold=0.0020679234728000003；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
E5JvA4wXNhP4D2yjsvYBWPARSnTsR4dEGRsc8eJazfkN,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=227.54777467293218；hold=0.002057654259882；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
3voEbfizdK8twSQpMoaAKxNveZjmryCYzvm4fFPzXG9Q,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=199.5388724758111；hold=0.002056363327163；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
4WyztHJNemibYYEUEbcZnGzhgsE2rC5bmszQb4igSisJ,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=229.84615398441628；hold=0.002054683557969；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
Auif35KRkwkbdUNe6gdN7hWUedioZjRATapXk2YwpYhT,RETAIL_NOISE,NOISE_SIDE,E1,只读gmgn:token_holders证据；tags=无；profit=210.676498660069；hold=0.002030956400896；sell_ratio=0.0,仍持有,risk_watch,MASK-RETAIL_NOISE-E1-NOISE_SIDE,gmgn:token_holders
BpxmVfLF1FKWz3BBwwFReEPP9tcdgx5e9uKqC61w8GTL,EARLY_BUYER,STRUCTURE_SIDE,E2,"只读gmgn:token_traders证据；tags=dev_team,bundler,sniper,paper_hands；profit=46125.99009307414；hold=0.0；sell_ratio=1.0",未知,risk_watch,MASK-EARLY_BUYER-E2-STRUCTURE_SIDE,gmgn:token_traders
657wLDLjEu9mbZYfKpX3AZDjqLddbkD1F8hbj8E6NRoz,EARLY_BUYER,STRUCTURE_SIDE,E2,"只读gmgn:token_traders证据；tags=dev_team,bundler,sniper,paper_hands；profit=39630.63637341965；hold=0.0；sell_ratio=1.0",未知,risk_watch,MASK-EARLY_BUYER-E2-STRUCTURE_SIDE,gmgn:token_traders
HmAtxFkeLtFNoyMbtf4jHGgcYkCZzJ5PwoeZFQf9Q3Uq,EARLY_BUYER,STRUCTURE_SIDE,E2,"只读gmgn:token_traders证据；tags=dev_team,bundler,sniper,paper_hands；profit=23411.15726896057；hold=0.0；sell_ratio=1.0",未知,risk_watch,MASK-EARLY_BUYER-E2-STRUCTURE_SIDE,gmgn:token_traders
