position_id,token_address,token_symbol,代币地址,代币符号,status,paper_entry_time,entry_time,paper_entry_price,entry_price,entry_quote_source,paper_size_sol,position_sol,paper_size_usd,estimated_token_amount,candidate_discovered_at,discovery_market_cap_usd,signal_time,signal_level,signal_type,signal_market_cap_usd,wallet_decision_time,wallet_structure_status,wallet_structure_score,wallet_risk_score,counterparty_pressure_score,data_quality_score,entry_market_cap_usd,entry_liquidity_usd,entry_holder_count,entry_delay_from_discovery_sec,entry_delay_from_signal_sec,entry_market_cap_change_from_discovery_pct,entry_market_cap_change_from_signal_pct,market_cap_context_status,wallet_exit_action,wallet_exit_trigger_time,wallet_exit_trigger_type,shadow_hold_tracking,shadow_hold_price_15m,shadow_hold_price_30m,shadow_hold_price_60m,missed_profit_pct,avoided_drawdown_pct,false_exit_flag,最终收益率_pct,exit_reason,remaining_pct,stop_price,take_profit_rules,triggered_tps,max_price,min_price,last_price,last_update_time,strategy_type,quote_security_state,scope_note,最大浮盈_pct,最大浮亏_pct,已触发止盈次数,当前收益率_pct,exit_time,exit_price,wallet_position_action,failure_type,failure_reason,wallet_structure_factor,wallet_structure_reason,wallet_evidence_level,entry_price_mode,signal_entry_price,live_entry_price,signal_pnl_pct,live_pnl_pct,entry_price_diff_pct,cost_model,cost_buffer_pct,wallet_exit_monitor_reason,entry_raw_quote_price,entry_simulated_price,entry_slippage_pct,entry_fee_sol,discovery_liquidity_usd,discovery_holder_count,discovery_source,signal_price,wallet_decision_market_cap_usd,paper_entry_market_cap_usd,paper_entry_snapshot
paper-F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump-2026-05-02T03:19:42Z,,,F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump,lolcat,CLOSED,,2026-05-01 14:52:00 UTC,,3.4589665e-05,,,0.150147,,,,,,S4_强确认信号,,,,,,,,,,,,,,,,,,,,,,,,,,,343.0812,钱包结构触发纸面强制退出,25.0,2.883035936e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]","[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险', '触发时间': '2026-05-02T03:19:42Z', '触发价格': 0.000137839553108327}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%', '触发时间': '2026-05-02T03:19:42Z', '触发价格': 0.000137839553108327}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪', '触发时间': '2026-05-02T03:19:42Z', '触发价格': 0.000137839553108327}]",0.000137839553108327,3.4589665e-05,0.000137839553108327,2026-05-02T03:19:42Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,298.4992,0.0,3,298.4992,2026-05-02T06:57:00Z,0.00015326031261579282,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,,,,,,,,,,,,,,,,,,,,,,,
paper-ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1-2026-05-02T03:19:42Z,,,ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,AALIEN,CLOSED,,2026-04-30 16:34:00 UTC,,4.8220098e-05,,,0.185696,,,,,,S4_强确认信号,,,,,,,,,,,,,,,,,,,,,,,,,,,497.2784,钱包结构触发纸面强制退出,25.0,4.1728307712e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]","[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险', '触发时间': '2026-05-02T03:19:42Z', '触发价格': 0.00020863885422318695}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%', '触发时间': '2026-05-02T03:19:42Z', '触发价格': 0.00020863885422318695}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪', '触发时间': '2026-05-02T03:19:42Z', '触发价格': 0.00020863885422318695}]",0.00020863885422318695,4.8220098e-05,0.00020863885422318695,2026-05-02T03:19:42Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,332.6803,0.0,3,332.6803,2026-05-02T06:57:00Z,0.0002880082143462862,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,,,,,,,,,,,,,,,,,,,,,,,
paper-9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump-2026-05-02T03:19:42Z,,,9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump,UNIPUMP,CLOSED,,2026-05-01 19:01:00 UTC,,0.00021903091,,,0.125662,,,,,,S4_强确认信号,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0025,钱包结构触发纸面强制退出,100.0,0.00017545544616,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],0.0002233075552319303,0.00021903091,0.0002233075552319303,2026-05-02T03:19:42Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,1.9525,0.0,0,1.9525,2026-05-02T06:57:00Z,0.00024751036838727933,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,,,,,,,,,,,,,,,,,,,,,,,
paper-C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump-2026-05-02T03:19:42Z,,,C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump,1000x,CLOSED,,2026-04-28 23:11:00 UTC,,0.00017055563,,,0.060928,,,,,,S4_强确认信号,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3929,钱包结构触发纸面强制退出,100.0,0.00010057334932,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],0.00017055563,0.00011784940258432513,0.0001610443243208782,2026-05-02T11:52:25Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,0.0,-30.9027,0,-5.5767,2026-05-02T12:20:12Z,0.00016306336238448458,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,,,,,,,,,,,,,,,,,,,,,,,
paper-F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump-2026-05-02T13:54:47Z,,,F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump,lolcat,CLOSED,,2026-05-01 14:52:00 UTC,,3.4589665e-05,,,0.150147,,,,,,S4_强确认信号,,,,WALLET_BLOCK,48.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,160.8413,钱包结构触发纸面强制退出,25.0,2.883035936e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]","[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00012134852304215285}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00012134852304215285}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00012134852304215285}]",0.00012134852304215285,3.4589665e-05,0.00012134852304215285,2026-05-02T13:54:47Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,250.8231,0.0,3,250.8231,2026-05-02T17:22:43Z,9.022412796068749e-05,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 8 个；对手盘压力高，接盘/套牢筹码占比偏高,E3,,,,,,,,,,,,,,,,,,,,
paper-ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1-2026-05-02T13:54:47Z,,,ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,AALIEN,CLOSED,,2026-04-30 16:34:00 UTC,,4.8220098e-05,,,0.185696,,,,,,S4_强确认信号,,,,WALLET_BLOCK,32.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,679.3995,钱包结构触发纸面强制退出,25.0,4.1728307712e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]","[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00033029514495816286}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00033029514495816286}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00033029514495816286}]",0.00033029514495816286,4.8220098e-05,0.00033029514495816286,2026-05-02T13:54:47Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,584.974,0.0,3,584.974,2026-05-02T17:22:43Z,0.00037582719343021165,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 13 个；对手盘压力高，接盘/套牢筹码占比偏高,E4,,,,,,,,,,,,,,,,,,,,
paper-21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump-2026-05-02T13:54:47Z,,,21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump,GRUMP,CLOSED,,2026-05-01 22:36:00 UTC,,0.00024935266,,,0.2,,,,,,S4_强确认信号,,,,WALLET_BLOCK,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,-98.3146,钱包结构触发纸面强制退出,75.0,0.00022478260892,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]","[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00042789665388798525}]",0.00042789665388798525,0.00024935266,0.00042789665388798525,2026-05-02T13:54:47Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,71.603,0.0,1,71.603,2026-05-02T17:22:43Z,4.2025141525633655e-06,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,,E3,,,,,,,,,,,,,,,,,,,,
paper-9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump-2026-05-02T13:54:47Z,,,9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump,UNIPUMP,CLOSED,,2026-05-01 19:01:00 UTC,,0.00021903091,,,0.125662,,,,,,S4_强确认信号,,,,WALLET_BLOCK,28.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,42.1293,钱包结构触发纸面强制退出,50.0,0.00017545544616,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]","[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00048251139187587135}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00048251139187587135}]",0.00048251139187587135,0.00021903091,0.00048251139187587135,2026-05-02T13:54:47Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,120.2937,0.0,2,120.2937,2026-05-02T17:22:43Z,0.00031130712693739325,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 4 个；对手盘压力高，接盘/套牢筹码占比偏高,E4,,,,,,,,,,,,,,,,,,,,
paper-4bNNLxMjDmoQz1QxfbhiMJJpe3m2LDQUUW5edfnMpump-2026-05-02T13:54:47Z,,,4bNNLxMjDmoQz1QxfbhiMJJpe3m2LDQUUW5edfnMpump,GOBLIEN,CLOSED,,2026-05-02 10:00:00 UTC,,7.7741311e-05,,,0.2,,,,,,S4_强确认信号,,,,WALLET_BLOCK,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,-97.2723,钱包结构触发纸面强制退出,75.0,6.8691913156e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]","[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险', '触发时间': '2026-05-02T13:54:47Z', '触发价格': 0.00012523326527446425}]",0.00012523326527446425,7.7741311e-05,0.00012523326527446425,2026-05-02T13:54:47Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,61.0897,0.0,1,61.0897,2026-05-02T17:33:17Z,2.1205521730132126e-06,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 2 个；对手盘压力高，接盘/套牢筹码占比偏高,E4,,,,,,,,,,,,,,,,,,,,
paper-7soYuSPe1LaJ9V37W7ZGDB5Xwxi41LUWjRT3AEQGpump-2026-05-02T17:22:43Z,,,7soYuSPe1LaJ9V37W7ZGDB5Xwxi41LUWjRT3AEQGpump,WOLVERINE,CLOSED,,2026-04-28 16:24:00 UTC,,0.00018589712768627816,,,0.177725,,,,,,S4_强确认信号,,,,WALLET_BLOCK,48.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,-0.1329,钱包结构触发纸面强制退出,100.0,5.9818622084000004e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],0.00018589712768627816,0.00018589712768627816,0.00018589712768627816,2026-05-02T17:22:43Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,0.0,0.0,0,0.0,2026-05-02T17:33:17Z,0.00018564999572064726,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 8 个；对手盘压力高，接盘/套牢筹码占比偏高,E4,live,6.9610509e-05,0.00018589712768627816,167.0533,0.0,167.0533,"{'buy_slippage_pct': 3.0, 'sell_slippage_pct': 3.0, 'dex_fee_pct': 0.25, 'quote_deviation_buffer_pct': 1.0, 'priority_fee_sol': 0.0005, 'failed_tx_cost_sol': 0.0002}",7.25,,,,,,,,,,,,
paper-F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump-2026-05-02T17:22:43Z,,,F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump,lolcat,CLOSED,,2026-05-01 14:52:00 UTC,,9.022412796068749e-05,,,0.150147,,,,,,S4_强确认信号,,,,WALLET_BLOCK,32.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,-24.233,钱包结构触发纸面强制退出,100.0,2.883035936e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],9.022412796068749e-05,9.022412796068749e-05,9.022412796068749e-05,2026-05-02T17:22:43Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,0.0,0.0,0,0.0,2026-05-02T17:33:17Z,6.836015526187365e-05,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 8 个；对手盘压力高，接盘/套牢筹码占比偏高,E3,live,3.4589665e-05,9.022412796068749e-05,160.8413,0.0,160.8413,"{'buy_slippage_pct': 3.0, 'sell_slippage_pct': 3.0, 'dex_fee_pct': 0.25, 'quote_deviation_buffer_pct': 1.0, 'priority_fee_sol': 0.0005, 'failed_tx_cost_sol': 0.0002}",7.25,,,,,,,,,,,,
paper-9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump-2026-05-02T17:22:43Z,,,9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump,UNIPUMP,CLOSED,,2026-05-01 19:01:00 UTC,,0.00031130712693739325,,,0.125662,,,,,,S4_强确认信号,,,,WALLET_BLOCK,28.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,-6.4678,钱包结构触发纸面强制退出,100.0,0.00017545544616,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],0.00031130712693739325,0.00031130712693739325,0.00031130712693739325,2026-05-02T17:22:43Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,0.0,0.0,0,0.0,2026-05-02T17:33:17Z,0.00029117248875428934,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 4 个；对手盘压力高，接盘/套牢筹码占比偏高,E4,live,0.00021903091,0.00031130712693739325,42.1293,0.0,42.1293,"{'buy_slippage_pct': 3.0, 'sell_slippage_pct': 3.0, 'dex_fee_pct': 0.25, 'quote_deviation_buffer_pct': 1.0, 'priority_fee_sol': 0.0005, 'failed_tx_cost_sol': 0.0002}",7.25,,,,,,,,,,,,
paper-EVrfnKXnX1XCT5ESvp6VJUwLFDU1Ajq1dpUrG5qUpump-2026-05-02T17:33:17Z,,,EVrfnKXnX1XCT5ESvp6VJUwLFDU1Ajq1dpUrG5qUpump,SMW,CLOSED,,2026-05-02 16:13:00 UTC,,0.00019030106591539405,,,0.2,,,,,,S4_强确认信号,,,,WALLET_BLOCK,32.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,0.0,命中纸面止损,100.0,0.00032328429812,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],0.00019030106591539405,0.00019030106591539405,0.00019030106591539405,2026-05-02T17:33:17Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,纸面持仓，不执行真实 swap。,0.0,0.0,,,2026-05-02T17:33:17Z,0.00019030106591539405,,,,1.0,发现分发侧钱包 1 个；对手盘压力高，接盘/套牢筹码占比偏高,E3,live,0.00033967533,0.00019030106591539405,-43.9756,0.0,-43.9756,"{'buy_slippage_pct': 3.0, 'sell_slippage_pct': 3.0, 'dex_fee_pct': 0.25, 'quote_deviation_buffer_pct': 1.0, 'priority_fee_sol': 0.0005, 'failed_tx_cost_sol': 0.0002}",7.25,,,,,,,,,,,,
paper-ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1-2026-05-02T17:33:17Z,,,ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,AALIEN,CLOSED,,2026-04-30 16:34:00 UTC,,0.00036790532238250103,,,0.185696,,,,,,S4_强确认信号,,,,WALLET_BLOCK,32.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,-3.8155,钱包结构触发纸面强制退出,100.0,4.1728307712e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],0.00036790532238250103,0.00036790532238250103,0.00036790532238250103,2026-05-02T17:33:17Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,0.0,0.0,0,0.0,2026-05-02T17:44:03Z,0.00035386784258939334,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 13 个；对手盘压力高，接盘/套牢筹码占比偏高,E4,live,4.8220098e-05,0.00036790532238250103,662.9709,0.0,662.9709,"{'buy_slippage_pct': 3.0, 'sell_slippage_pct': 3.0, 'dex_fee_pct': 0.25, 'quote_deviation_buffer_pct': 1.0, 'priority_fee_sol': 0.0005, 'failed_tx_cost_sol': 0.0002}",7.25,,,,,,,,,,,,
paper-CEqaq1pe8TZUFyiTSy8MAz7wzoBu5xWExqW99BBVpump-2026-05-02T17:33:17Z,,,CEqaq1pe8TZUFyiTSy8MAz7wzoBu5xWExqW99BBVpump,NPC,CLOSED,,2026-05-02 05:08:00 UTC,,5.521957975771926e-05,,,0.2,,,,,,S4_强确认信号,,,,WALLET_BLOCK,64.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,-5.9789,钱包结构触发纸面强制退出,100.0,4.7934788008000004e-05,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],5.521957975771926e-05,5.521957975771926e-05,5.521957975771926e-05,2026-05-02T17:33:17Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,0.0,0.0,0,0.0,2026-05-02T17:44:03Z,5.191803068871493e-05,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 9 个；对手盘压力高，接盘/套牢筹码占比偏高,E4,live,5.2857358e-05,5.521957975771926e-05,4.4691,0.0,4.4691,"{'buy_slippage_pct': 3.0, 'sell_slippage_pct': 3.0, 'dex_fee_pct': 0.25, 'quote_deviation_buffer_pct': 1.0, 'priority_fee_sol': 0.0005, 'failed_tx_cost_sol': 0.0002}",7.25,,,,,,,,,,,,
paper-9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump-2026-05-02T17:33:17Z,,,9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump,UNIPUMP,CLOSED,,2026-05-01 19:01:00 UTC,,0.00029117248875428934,,,0.125662,,,,,,S4_强确认信号,,,,WALLET_BLOCK,28.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,-12.6138,钱包结构触发纸面强制退出,100.0,0.00017545544616,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],0.00029117248875428934,0.00029117248875428934,0.00029117248875428934,2026-05-02T17:33:17Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,钱包结构触发纸面退出；不执行真实 swap。,0.0,0.0,0,0.0,2026-05-02T17:44:03Z,0.0002544447005460674,FORCE_PAPER_EXIT,STRUCTURE_WEAKENING,钱包结构状态变为 WALLET_BLOCK，纸面阶段直接模拟退出,1.0,发现分发侧钱包 4 个；对手盘压力高，接盘/套牢筹码占比偏高,E4,live,0.00021903091,0.00029117248875428934,32.9367,0.0,32.9367,"{'buy_slippage_pct': 3.0, 'sell_slippage_pct': 3.0, 'dex_fee_pct': 0.25, 'quote_deviation_buffer_pct': 1.0, 'priority_fee_sol': 0.0005, 'failed_tx_cost_sol': 0.0002}",7.25,,,,,,,,,,,,
paper-EVrfnKXnX1XCT5ESvp6VJUwLFDU1Ajq1dpUrG5qUpump-2026-05-02T17:44:03Z,,,EVrfnKXnX1XCT5ESvp6VJUwLFDU1Ajq1dpUrG5qUpump,SMW,CLOSED,,2026-05-02 16:13:00 UTC,,0.00022944430524311484,,,0.2,,,,,,S4_强确认信号,,,,WALLET_BLOCK,16.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,0.0,命中纸面止损,100.0,0.00031523267248,"[{'触发收益率': 50, '卖出比例': 25, '说明': '+50% 卖出 25%，回收部分风险'}, {'触发收益率': 100, '卖出比例': 25, '说明': '+100% 再卖出 25%'}, {'触发收益率': 200, '卖出比例': 25, '说明': '+200% 再卖出 25%，剩余跟踪'}]",[],0.00022944430524311484,0.00022944430524311484,0.00022944430524311484,2026-05-02T17:44:03Z,SIKK-B 控盘箱体突破回踩,READY_FOR_CONFIRMATION,纸面持仓，不执行真实 swap。,0.0,0.0,,,2026-05-02T17:44:03Z,0.00022944430524311484,,,,1.0,发现分发侧钱包 1 个；对手盘压力高，接盘/套牢筹码占比偏高,E3,live,0.00033967533,0.00022944430524311484,-32.4519,0.0,-32.4519,"{'buy_slippage_pct': 3.0, 'sell_slippage_pct': 3.0, 'dex_fee_pct': 0.25, 'quote_deviation_buffer_pct': 1.0, 'priority_fee_sol': 0.0005, 'failed_tx_cost_sol': 0.0002}",7.25,,,,,,,,,,,,
